Site,Landscape Treatment,Bowl Location,Block,Agapostemon virescens,Agapostemon texanus,Agapostemon angelicus ,Melissodes bimaculata,Melissodes agilis ,Melissodes communis,Melissodes trinodis,Melissodes boltinae,Melissodes desponsa ,Lasioglossum E,Lasioglossum (Dialictus) ,Halictus ligatus,Halictus confusus,Halictus rubicundus ,Halictus parallelus,Halictus tripariatus,Apis mellifera ,Ceratina dupla,Ceratina calcarata ,Augochlorella aurata,Augochloropsis metallica,Augochlora pura,Peponapis pruinosa,Andrena commoda,Dieunomia triangulifera ,Megachile parallela,Megachile centuncularis,Megachile brevis,Megachile campanulae,Calliopsis andreniformis,Hylaeus affinis,Hylaeus annulatus,Bombus pensylvanicus,Bombus impatiens,Bombus griseocollis,Bombus variabilis,Bombus affinis,Bombus bimaculata,Bombus citrinus ,Bombus auricomus,Bombus vagans,Eucera atriventris,Eucera hamata,Nomada vegana,Anthrophora bomboides,Svastra compta,TOTAL BEES,Richness
Oakland,Simple,Soybean,East,8,9,0,2,0,0,0,0,0,1,44,6,6,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,85,12
Ivis,Simple,Soybean,West,7,2,0,1,0,0,0,0,0,0,28,5,1,0,0,0,6,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,10
Tracy 1,Simple,Soybean,West,9,12,0,4,0,1,0,0,0,1,26,6,14,1,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,13
East Dairy,Simple,Soybean,East,6,5,2,1,1,0,1,0,0,0,44,2,16,0,5,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,93,14
Uthe,Simple,Soybean,East,27,30,0,8,0,0,2,1,1,0,51,6,1,2,3,0,7,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,144,16
Kostelnick,Complex,Soybean,West,2,3,0,5,1,0,0,0,0,0,46,0,1,0,1,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,71,11
Haglund 1,Complex,Soybean,West,18,10,0,2,0,0,0,0,1,1,60,3,2,3,9,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,1,0,0,125,16
Curtiss,Complex,Soybean,East,2,4,0,5,0,1,0,0,0,5,40,1,0,5,6,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,11
Tracy 3,Complex,Soybean,West,19,4,0,2,1,0,0,0,1,2,68,5,8,0,2,0,14,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,1,3,0,0,0,145,17
Ontario,Complex,Soybean,East,14,19,0,20,0,0,0,0,0,4,224,17,31,7,3,0,3,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,352,16
River ridge,CSA,CSA,East,1,2,0,0,0,0,0,0,0,19,165,1,1,1,12,0,2,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,218,13
Berry Patch,CSA,CSA,East,4,8,0,16,1,0,1,0,0,0,41,7,2,0,0,0,15,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,104,17
Mustard Seed,CSA,CSA,East,26,12,0,10,1,0,0,0,0,47,127,1,3,3,21,0,9,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,3,0,0,1,0,0,0,0,0,281,19
Black Cat,CSA,CSA,East,2,1,0,0,0,0,0,0,0,4,39,0,2,2,6,0,1,0,0,3,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66,14
7 pines,CSA,CSA,East,36,4,0,3,0,0,1,1,0,0,53,0,3,0,1,0,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,113,16
