Site,Cropland,Developed,Grassland,Woodland
Oakland Farm,0.9107766406,0.0526189043,0.0339554485,0.0026490066
Ivis Farm,0.9283481606,0.0453233950,0.0250060111,0.0013224333
Tracy 1,0.7940259117,0.0371880998,0.1631477927,0.0056381958
East Dairy,0.8157989660,0.0794757725,0.0965492365,0.0081760250
Uthe,0.8689630254,0.0340840660,0.0903287968,0.0066241118
Kostelnick,0.1281866282,0.2860750361,0.1534391534,0.4322991823
Haglund Alt 1,0.5151224196,0.0398463754,0.1283005281,0.3167306769
Curtiss 2016,0.2699194808,0.3389015743,0.1963706285,0.1948083163
tracy 3 2016,0.5041986564,0.0636996161,0.1374760077,0.2946257198
Ontario,0.1198942816,0.4619173474,0.1063190774,0.3118692936
River Ridge Farm CSA,0.3994473811,0.1034358481,0.2035079289,0.2936088419
Berry Patch Farm,0.5775799856,0.0528025018,0.2122925186,0.1573249940
Mustard Seed Farm,0.6980702385,0.0538175716,0.1521035599,0.0960086300
Black Cat Acres,0.5605003608,0.0329564590,0.1545585759,0.2519846043
7 Pines Farm,0.8295591424,0.0560105999,0.0719103830,0.0425198747
